Role,Cluster,Type,Skills
operations group manager,operations group manager_-1,role,"'business objects', 'coaching', 'complex problem solving', 'cascading style sheets (css)', 'dmaic methodology', 'graphical user interface (gui) design', 'java programming', 'keynote', 'lean manufacturing', 'process flow diagram (pfd)', 'purchasing', 'reliability-centered maintenance (rcm)', 're-engineering', 'judgment', 'supervision', 'tango', 'user support', 'water treatment'"
operations group manager,operations group manager_2,role,"'change management', 'continuous improvement', 'facilities management', 'policy development', 'business process improvement'"
operations group manager,operations group manager_0,role,"'financial reporting', 'record keeping', 'report generation'"
operations manager,operations manager_0,role,"'computer programming', 'technology integration'"
operations manager,operations manager_3,role,"'mathematics', 'algebra', 'quantitative analysis', 'geometry'"
operations manager,operations manager_-1,role,"'account management', 'grading and evaluation', 'presentation skills', 'student support', 'google docs', 'procurement', 'microsoft access', 'sql', 'market research'"
operations manager,operations manager_2,role,"'classroom monitoring', 'tutoring', 'esl teaching'"
operations manager,operations manager_1,role,"'physics', 'sensor technology'"
operations specialist,operations specialist_-1,role,"'statistical package for the social sciences (spss)', 'electrical wiring', 'record keeping', 'downtime minimization', 'soldering', 'conceptual design', 'radar systems', 'working at heights', 'rigging', 'ultra high frequency (uhf)', 'geometric dimensioning and tolerancing (gd&t)', 'calibration'"
operations specialist,operations specialist_0,role,"'oscilloscope operation', 'broadcast engineering', 'technical planning', 'operations analysis', 'facilities management', 'computer networking', 'time management'"
operations specialist,operations specialist_1,role,"'test equipment', 'measurement'"
operations technician,operations technician_-1,role,"'electrical mechanical systems', 'engineering economy', 'industrial electricity', 'instrumentation and control systems'"
operator,operator_-1,role,"'lighting design', 'power distribution systems', 'computer programming', 'robotics'"
owner,owner_-1,role,"'american institute of architects (aia)', 'as/400', 'billing', 'bluebeam revu', 'bond trading', 'clerical skills', 'coding', 'medical imaging', 'insurance', 'jd edwards enterpriseone', 'negotiation', 'proposal writing', 'results-oriented', 'request for information (rfi)', 'tax law'"
owner,owner_0,role,"'business writing', 'construction management', 'contract management', 'business development', 'property management', 'sales management'"
owner,owner_1,role,"'project coordination', 'scheduling', 'event planning'"
owner / president,owner / president_0,role,"'c# programming', 'java programming', 'objective-c programming', 'quest software'"
owner / president,owner / president_1,role,"'cd-rom media', 'device drivers', 'mac os', 'multimedia production', 'operating systems', 'policy development', 'product development', 'usb technology', 'windows vista'"
owner / president,owner / president_-1,role,"'ceridian hris', 'cisco', 'cost reduction', 'functional testing', 'intel processors', 'linux administration', 'printer support', 'document scanning', 'scheduling', 'sound card configuration', 'sun microsystems', 'data validation'"
owner / president,owner / president_2,role,"'quality inspection', 'business process improvement'"
p&c producer and sales agent,p&c producer and sales agent_-1,role,"'delivery management', 'insurance', 'policy development', 'roofing'"
patent examiner,patent examiner_-1,role,"'calibration', 'cleaning in place (cip)', 'computer numerical control (cnc)', 'injection molding', 'manufacturing', 'manufacturing yield improvement', 'minitab', 'microsoft project', 'microsoft visio', 'creo parametric', 'statgraphics'"
patient relations supervisor,patient relations supervisor_0,role,'leadership development'
payroll accountant,payroll accountant_0,role,"'accounts payable', 'accounts receivable', 'accruals', 'billing'"
payroll accountant,payroll accountant_-1,role,"'acquisitions', 'anytime scheduler', 'closing procedures', 'contract management', 'credit analysis', 'frx financial reporting', 'insurance', 'jd edwards enterpriseone', 'job costing', 'kronos workforce management', 'lotus notes', 'sage mas 90', 'munis', 'netscape messenger', 'quickbooks'"
payroll accountant,payroll accountant_1,role,"'financial controller', 'fixed asset accounting', 'general ledger accounting'"
personal auto underwriter,personal auto underwriter_0,role,"'accounts payable', 'general ledger'"
personal auto underwriter,personal auto underwriter_1,role,"'accounts receivable', 'administrative skills', 'business intelligence (bi)', 'computer applications', 'credit analysis', 'data entry', 'delivery management', 'email communication', 'insurance', 'telephone skills', 'policy development', 'microsoft powerpoint', 'quickbooks', 'sales reporting', 'microsoft word', 'workflow management'"
personal auto underwriter,personal auto underwriter_-1,role,"'closing procedures', 'driving', 'trial balance'"
plant manager/project manager,plant manager/project manager_0,role,"'computer numerical control (cnc)', 'mathematics', 'computer networking', 'computer programming'"
plant manager/project manager,plant manager/project manager_1,role,"'layout design', 'packaging design', 'presentation skills'"
plant manager/project manager,plant manager/project manager_-1,role,"'policy development', 'record keeping'"
poling clerk,poling clerk_0,role,"'cabling installation', 'hardware installation', 'network installation', 'network design', 'operating systems', 'network troubleshooting'"
poling clerk,poling clerk_1,role,"'database administration', 'database programming', 'linux programming', 'java programming'"
poling clerk,poling clerk_-1,role,"'firewall administration', 'ip addressing', 'monitoring and evaluation (m&e)', 'negotiation'"
precision machinist,precision machinist_0,role,"'computer numerical control (cnc)', 'mathematics', 'computer networking', 'computer programming'"
precision machinist,precision machinist_1,role,"'layout design', 'packaging design', 'presentation skills'"
precision machinist,precision machinist_-1,role,"'policy development', 'record keeping'"
principal software engineer,principal software engineer_4,role,"'mentoring', 'onboarding'"
principal software engineer,principal software engineer_3,role,"'web page design', 'conceptual design', 'methodology', 'graphical user interface (gui) design'"
principal software engineer,principal software engineer_2,role,"'audio engineering', 'broadcast engineering', 'bridge engineering', 'technical specifications'"
principal software engineer,principal software engineer_1,role,"'network attached storage (nas)', 'data migration', 'local area network (lan)', 'storage area network (san)', 'windows explorer', 'microsoft access', 'data backup', 'sql', 'data access', 'nosql databases'"
principal software engineer,principal software engineer_-1,role,"'intellectual property (ip)', 'window installation', 'dynamic html5', 'performance reviews', 'android development', 'mediation', 'california regulations', 'xml', 'affirmative action compliance', 'devops', 'command line interface (cli)', 'content creation', 'json', 'mathematics', 'file transfer protocol (ftp)', 'threading', 'cascading style sheets (css)', 'megabytes (mb)', 'atl marketing', 'algebra', 'component object model (com)', 'intrusion detection systems (ids)', 'functional testing', 'software as a service (saas)', 'proxy servers'"
principal software engineer,principal software engineer_0,role,"'c# programming', 'r programming', 'java programming', 'perl programming', 'visual c++', 'ruby programming', 'object-oriented programming (oop)'"
principal software engineer,principal software engineer_5,role,"'recruiting', 'team building', 'innovation management', 'employee relations', 'compensation administration', 'workflow management', 'personnel records management', 'memory management', 'team management', 'server administration'"
